SL NO,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,In stock?,Sold individually?,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Position,Meta: _specifications_display_attributes,Meta: _per_product_admin_commission_type,product-url,image_url,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global,Attribute 21 name,Attribute 21 value(s),Attribute 21 visible,Attribute 21 global,Attribute 22 name,Attribute 22 value(s),Attribute 22 visible,Attribute 22 global,Attribute 23 name,Attribute 23 value(s),Attribute 23 visible,Attribute 23 global,Attribute 24 name,Attribute 24 value(s),Attribute 24 visible,Attribute 24 global
,simple,,"
        10mm Metal Anchor Bolt HMBR Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,,40.00,"Anchors,Screws, Nails and Anchors,Tools and Hardware",,Dhaka Only,"16-679A.jpg,16-679B.jpg",0,yes,percentage,https://www.fixit.com.bd/product/10mm-metal-anchor-bolt-hmbr-brand/,"https://www.fixit.com.bd/wp-content/uploads/2018/01/16-679A.jpg,https://www.fixit.com.bd/wp-content/uploads/2018/01/16-679B.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        8  Inch 2 Jaw Gear Puller Tolsen Brand 65003    ",1,0,visible,,"• Overall forged steel with hardened treatment,• Zinc plated surface treatment,• Thread: black finished,• Packing: drawing box, ",1,0,1,Thanks for purchasing,,870.00,"Hand Tools,Tools and Hardware,Wrenches",,Dhaka Only,8-Inch-2-Jaw-Gear-Puller-Tolsen-Brand-65003-600x600.jpg,0,yes,percentage,https://www.fixit.com.bd/product/8-inch-2-jaw-gear-puller-tolsen-brand-65003/,https://www.fixit.com.bd/wp-content/uploads/2018/04/8-Inch-2-Jaw-Gear-Puller-Tolsen-Brand-65003-600x600.jpg,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        8 Inch Cutting Plier with Red & Black Color Rubber Handle HMBR Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,,192.00,"Hand Tools,Pliers,Tools and Hardware",,Dhaka Only,14-089-web-600x600.jpg,0,yes,percentage,https://www.fixit.com.bd/product/8-inch-cutting-plier-with-red-black-color-rubber-handle-hmbr-brand-2/,https://www.fixit.com.bd/wp-content/uploads/2018/01/14-089-web-600x600.jpg,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        220-230 Volt 50/60 Hz 600 Watt 13 mm 2 Kg Weight Impact Drill Machine Crown Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,,"3,247.00","Power Tools,Tools and Hardware",,Dhaka Only,"drill.jpg,drill_full.jpg",0,yes,percentage,https://www.fixit.com.bd/product/220-230-volt-5060-hz-600-watt-13-mm-2-kg-weight-impact-drill-machine-crown-brand/,"https://www.fixit.com.bd/wp-content/uploads/2018/02/drill.jpg,https://www.fixit.com.bd/wp-content/uploads/2018/02/drill_full.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        220V 500W 50-60Hz Jigsaw Huipu Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,"4,091.00","4,306.00","Jig Saws,Power Tools,Tools and Hardware",,Dhaka Only,23-457.jpg,0,yes,percentage,https://www.fixit.com.bd/product/220v-500w-50-60hz-planer-machine-huipu-brand/,https://www.fixit.com.bd/wp-content/uploads/2017/05/23-457.jpg,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        Blue Plastic Fabric Filter Dust Mask HMBR Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,,50.00,"Respiratory Masks,Safety and Security,Tools and Hardware",,Dhaka Only,27-011.jpg,0,yes,percentage,https://www.fixit.com.bd/product/blue-plastic-fabric-filter-dust-mask-hmbr-brand-2/,https://www.fixit.com.bd/wp-content/uploads/2018/01/27-011.jpg,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        12 Inch Hand Riveter Green and Black Color Wynn’s Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,"1,034.00","1,088.00","Hand Tools,Rivet Tools and Rivets,Tools and Hardware",,Dhaka Only,"01-1056A.jpg,01-1056B.jpg,01-1056C.jpg",0,yes,percentage,https://www.fixit.com.bd/product/12-inch-hand-riveter-green-and-black-color-wynns-brand/,"https://www.fixit.com.bd/wp-content/uploads/2017/08/01-1056A.jpg,https://www.fixit.com.bd/wp-content/uploads/2017/08/01-1056B.jpg,https://www.fixit.com.bd/wp-content/uploads/2017/08/01-1056C.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        2 Pcs Packet Stainless Steel C Wrench Set    ",1,0,visible,,,1,0,1,Thanks for purchasing,523.00,550.00,"Hand Tools,Tools and Hardware,Wrenches",,Dhaka Only,"04-608B.jpg,04-608A.jpg",0,yes,percentage,https://www.fixit.com.bd/product/2-pcs-packet-stainless-steel-c-wrench-set/,"https://www.fixit.com.bd/wp-content/uploads/2018/01/04-608A.jpg,https://www.fixit.com.bd/wp-content/uploads/2018/01/04-608B.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        6 Inch Dual Changeable Head Orange Color Plastic Handle Screwdriver HMBR Brand (Flat & Star Head)    ",1,0,visible,,,1,0,1,Thanks for purchasing,,143.00,"Hand Tools,Screwdrivers,Tools and Hardware",,Dhaka Only,"01-113C.jpg,01-113A.jpg",0,yes,percentage,https://www.fixit.com.bd/product/6-inch-dual-changeable-head-orange-color-plastic-handle-screwdriver-hmbr-brand-flat-star-head/,"https://www.fixit.com.bd/wp-content/uploads/2018/01/01-113C.jpg,https://www.fixit.com.bd/wp-content/uploads/2018/01/01-113A.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        15 Inch Stainless Steel Adjustable Wrench HMBR Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,,895.00,"Hand Tools,Tools and Hardware,Wrenches",,Dhaka Only,"04-203A.jpg,04-203B.jpg,04-203C.jpg",0,yes,percentage,https://www.fixit.com.bd/product/15-inch-stainless-steel-adjustable-wrench-hmbr-brand/,"https://www.fixit.com.bd/wp-content/uploads/2017/08/04-203A.jpg,https://www.fixit.com.bd/wp-content/uploads/2017/08/04-203B.jpg,https://www.fixit.com.bd/wp-content/uploads/2017/08/04-203C.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
